Value,Footprint,LCSC Part #,Total Quantity,Brain Quantity,Brain Designators,Mouth Quantity,Mouth Designators,Eye Quantity,Eye Designators,LCSC Added In Post,Post-Added LCSC Designators
AP64501SP-13,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,C2071517,1,1,U11,0,,0,,,
BAT,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394,1,1,J12,0,,0,,,
BQ25792,Texas_RQM0029A_VQFN-29_4x4mm_P0.4mm,C2862876,1,1,U9,0,,0,,Yes,U9
CBW160808U601T,0603,C139183,1,1,FB3,0,,0,,,
CH221K,SOT-23-6,C5125736,1,1,U8,0,,0,,,
CSD17577Q3A,VSON-8_3.3x3.3mm_P0.65mm_NexFET,C201632,2,2,"Q1, Q2",0,,0,,,
Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395,7,5,"J11, J2, J4, J5, J6",1,J2,1,J2,,
Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991,1,1,J13,0,,0,,,
Conn_01x08,PinHeader_2x04_P2.54mm_Vertical,C5383105,3,0,,1,J3,2,"J3, J4",,
Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,C30734,1,0,,1,J5,0,,,
ESP32-S3-WROOM-1,ESP32-S3-WROOM-1U,C2913199,1,1,U1,0,,0,,,
FerriteBead,0603,C88989,2,2,"FB1, FB2",0,,0,,,
ICS-43434,InvenSense_ICS-43434-6_3.5x2.65mm,C5656610,1,1,MK1,0,,0,,,
MAX17049G+T10,WSON-8_L2.0-W2.0-P0.50-BL-EP0.9,C18185545,1,1,U10,0,,0,,,
MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,C910544,1,1,U4,0,,0,,,
Motor,CONN-TH_4P-P2.54_MX128-2.54-GN01-04P-CU-Y-A,C5188444,1,1,J9,0,,0,,,
R5460N214AF-TR-FE,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C259719,1,1,U7,0,,0,,,
RED_LED,0603,C19171390,16,10,"D1, D10, D11, D2, D3, D4, D6, D7, D8, D9",3,"D1, D2, D3",3,"D1, D2, D3",,
RJ45_Hanrun_HR911105A_Horizontal,RJ45_Hanrun_HR911105A_Horizontal,C12074,1,1,J3,0,,0,,,
RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,2,0,,1,U1,1,U1,,
SMBJ15A,SMB_L4.6-W3.6-LS5.3-RD,C83846,1,1,D5,0,,0,,,
SW_Push,SW_SPST_TS-1088-xR025,C720477,6,2,"BOOT1, EN1",2,"BOOT1, RUN1",2,"BOOT1, RUN1",,
Speaker,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,C158012,1,1,LS1,0,,0,,,
TMC2209-LA,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,C2150710,1,1,U2,0,,0,,,
TPD2E2U06DCK,SOT-323_SC-70,C1855726,1,1,U5,0,,0,,,
TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1,1,USB1,0,,0,,,
W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,C82344,2,0,,1,U2,1,U2,,
W5500,LQFP-48_7x7mm_P0.5mm,C32843,1,1,U3,0,,0,,,
